Dates,Program,Mission,Artist,Song,Comment,Genre,Style,Year,Discogs Master,Discogs URI
1973-12-23,SKYLAB,SKYLAB 4,Unidentified,Little Drummer Boy,,Pop,Easy Listening,2015.0,,https://www.discogs.com/Living-Voices-Sing-Christmas-Music-The-Little-Drummer-Boy/release/9549343
1973-12-24,SKYLAB,SKYLAB 4,Unidentified,The Twelve Days Of Christmas,,Children's,,1976.0,https://api.discogs.com/masters/527200,https://www.discogs.com/Various-The-Twelve-Days-Of-Christmas/master/527200
1973-12-24,SKYLAB,SKYLAB 4,Unidentified,Little Drummer Boy,,,,,,https://www.discogs.com/artist/809315-The-Little-Drummer-Boy
1973-12-25,SKYLAB,SKYLAB 4,Unidentified,Ring Christmas Bells,,Jazz,Easy Listening,1976.0,https://api.discogs.com/masters/1017024,https://www.discogs.com/Ray-Conniff-And-The-Ray-Conniff-Singers-Ring-Christmas-Bells/master/1017024
1973-12-28,SKYLAB,SKYLAB 4,,,No wakeup call sent. Crew awakened by their alarm.,,,,,
1973-12-29,SKYLAB,SKYLAB 4,Three Dog Night,Joy To The World,,Rock,Pop Rock,1971.0,https://api.discogs.com/masters/155274,https://www.discogs.com/Three-Dog-Night-Joy-To-The-World/master/155274
1973-12-30,SKYLAB,SKYLAB 4,The Carpenters,On Top Of The World,,,,,,
1973-12-31,SKYLAB,SKYLAB 4,Brigitte Bardot,Come Back My Love,,,,,,
1974-01-01,SKYLAB,SKYLAB 4,Guy Lombardo,Auld Lang Syne,,Jazz,Big Band,,https://api.discogs.com/masters/949313,https://www.discogs.com/Guy-Lombardo-Auld-Lang-Syne/release/8399505
1974-01-01,SKYLAB,SKYLAB 4,Legendary Stardust Cowboy,Paralyzed,,Rock,Country Rock,1985.0,https://api.discogs.com/masters/520739,https://www.discogs.com/The-Legendary-Stardust-Cowboy-Paralyzed/release/13559756
1974-01-02,SKYLAB,SKYLAB 4,Unidentified,Unidentified,UNIDENTIFIED,,,,,
1974-01-03,SKYLAB,SKYLAB 4,"Peter, Paul, and Mary","Peter, Paul, And Mary Medley",,,,,,
1974-01-04,SKYLAB,SKYLAB 4,Chet Atkins,Chet Atkins Medley,,,,,,
1974-01-05,SKYLAB,SKYLAB 4,Marty Robbins,Strawberry Roan,"Commander Gerald P. Carr commented: Gene Autry, eat your heart out.","Folk, World, & Country",Country,,,https://www.discogs.com/Marty-Robbins-El-Paso-Running-Gun-Strawberry-Roan-They-Are-Hangin-Me-Tonight/release/10113085
1974-01-05,SKYLAB,SKYLAB 4,Marty Robbins,El Paso,Ibid.,Pop,Country,1963.0,https://api.discogs.com/masters/235908,https://www.discogs.com/Marty-Robbins-El-Paso/release/5327815
1974-01-06,SKYLAB,SKYLAB 4,Herb Alpert & Tijuana Brass,Herb Alpert & Tijuana Brass Medley,,,,,,
1974-01-12,SKYLAB,SKYLAB 4,Unidentified,Come Saturday Morning,,Pop,,1970.0,https://api.discogs.com/masters/973113,https://www.discogs.com/The-Sandpipers-Come-Saturday-Morning/master/973113
1974-01-13,SKYLAB,SKYLAB 4,The Lettermen,Light My Fire,(sic),,,,,
1974-01-14,SKYLAB,SKYLAB 4,Neil Diamond,,,,,,,
1974-01-15,SKYLAB,SKYLAB 4,Roberta Flack,The First Time Ever I Saw Your Face,,Funk / Soul,Soul,,https://api.discogs.com/masters/409844,https://www.discogs.com/Roberta-Flack-The-First-Time-Ever-I-Saw-Your-Face/release/4059989
1974-01-16,SKYLAB,SKYLAB 4,Unidentified,Spiders And Snakes,,Blues,,1973.0,https://api.discogs.com/masters/162697,https://www.discogs.com/Jim-Stafford-Spiders-And-Snakes/release/4269539
1974-01-17,SKYLAB,SKYLAB 4,Gordon MacRae,Oh What A Beautiful Morning,,,,,,
1974-01-19,SKYLAB,SKYLAB 4,Unidentified,Off We Go Into The Wild Blue Yonder,from the Air Force,,,,,
1974-01-19,SKYLAB,SKYLAB 4,Unidentified,Anchors Aweigh,,,,,,
1974-01-19,SKYLAB,SKYLAB 4,Steppenwolf,Ear Splitting Louder Boomer,"for lone civilian of crew, pilot Ed Gibson",,,,,
1974-01-20,SKYLAB,SKYLAB 4,Unidentified,The Marines' Hymn,,Brass & Military,,1944.0,,https://www.discogs.com/Continentals-Military-Band-The-Marines-Hymn-The-Rangers/release/12142725
1974-01-20,SKYLAB,SKYLAB 4,Unidentified,Quiet Village,,,,,,https://www.discogs.com/artist/731975-Quiet-Village
1974-01-20,SKYLAB,SKYLAB 4,Al Kealoha Perry,Hawaiian War Chant,,,,,,https://www.discogs.com/artist/4553677-Hawaiian-war-chant
